,route,location,vehicle_no,vehicle_type,vehicle_cat,vehicle_make,vehicle_model,no_injured_male_adult,no_injured_female_adult,no_injured_male_child,no_injured_female_child,total_injured,no_killed_male_adult,no_killed_female_adult,no_killed_male_child,no_killed_female_child,total_killed,no_involved_male_adult,no_involved_female_adult,no_involved_male_child,no_involved_female_child,total_involved,month,day,year,report_minus_crash,arrival_minus_crash,arrival_minus_report,no_automobile,hour,route:from,route:to,cause1,cause2
0,"['AKR', '-IPT']",KM 2.5 NEAR ANTI CULTIT P/STATION,KPA 328 LG & LSR 999 XN,2 BUS,2 COM,2 TYT,2 HIACE,3.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,9.0,2,9,2016,1800,2220,420,2,3,AKR,-IPT,SOS,
1,"['AKR', 'IPT']",KM 6 ILARA MOKIN,AKD 991 CE & EKY 431 EH,BUS & CAR,2 PVT,HONDA & TYT,ODESS& COROLLA,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2,9,2016,120,300,180,2,10,AKR,IPT,DGD,
2,"['AKR', 'OWO']",KM 2.5  SEENI JUNT. ,DKA  378 YYY & TFB 118 XA,2 BUS,2 COM,2 PGT,2 J5,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,8,9,2016,660,1200,540,2,0,AKR,OWO,DGD,
3,"['AKR', 'IPT']",KM 13 ERO JUNT,"FKJ 611 XB, KNR 377 XA & GED 81 XA",3 BUS,2 COM & PVT,2 TYT & IZUZU,"HIACE, PICNIC & BUS",3.0,2.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,3.0,8.0,5.0,0.0,1.0,14.0,9,18,2016,1380,2100,720,3,16,AKR,IPT,WOV,
4,"['AKR', 'OWO']",KM1.5 NNPC MEGA STATION,AKR 397 AT & WWW 405  AA,2 CAR,2 PVT,2 NISSAN,2 ALMERA,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0,9,23,2016,120,180,60,2,18,AKR,OWO,WOV,
5,"['AKR', 'OWO']",KM 4 QUARTER GUARD,NO NOS,BUS,PVT,TYT,SIENNA ,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,9,25,2016,300,600,300,1,4,AKR,OWO,SOS,
6,"['ORE', 'LAG']",KM 23 OMOTOSHO AXIS,SMK 355 CK & XA 349 DGB,BUS & TRK,PVT & COM,TYT & BEDFORD,SIENNA & TRK,5.0,1.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,2.0,6.0,2.0,0.0,0.0,8.0,3,9,2016,1200,2820,1620,2,9,ORE,LAG,SPV,
7,"['ORE', 'LAG']",KM 4 B4 NNPC FILLING STATION,GWK 730 XA,BUS,COM,TYT,SIENNA,3.0,3.0,0.0,1.0,7.0,1.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,1.0,8.0,9,22,2016,300,420,120,1,20,ORE,LAG,SLV,
8,"['ORE', 'BEN']",KM 13 OWENA VILLAGE,APP 525 EC,JEEP,PVT,TYT,JEEP,1.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,5.0,9,24,2016,300,600,300,1,12,ORE,BEN,SLV,
9,"['ORE', 'LAG']",QKM 7 AFTER MTN MAST,AWK 815 XA & NO NOS,BUS & TRK,2 COM,TYT & MAN DIESEL,HIACE & TRK,4.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,1.0,0.0,15.0,9,25,2016,420,720,300,2,14,ORE,LAG,SLV,OTH
10,"['ORE', 'OND']",KM 7 OMI IFON VILLAGE,KSF 357 BG,CAR,PVT,TYT,CAMRY,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,5.0,9,26,2016,540,900,360,1,17,ORE,OND,SLV,
11,"['ORE', 'LAG']",KM 13 FRM ORE ,KTU 683 EH,CAR,PVT,V/W,GOLF,5.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,6.0,9,28,2016,600,1020,420,1,16,ORE,LAG,SLV,
12,"['OWO', 'AKR']",KM 14 CLOSE TO AMURIN,KSF 711 DL,CAR,PVT,TYT,CAMRY,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,9,13,2016,420,1140,720,1,8,OWO,AKR,TBT,
13,"['OWO', 'AKR']",KM 3 ISUADA JUNCT,SUA 009 WH,BIKE,COM,BAJAJ,BOXERS,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,9,21,2016,120,300,180,1,12,OWO,AKR,SLV,
14,"['OWO', 'AKR']",KM 4 POLY GATE,"LES 112 AA, MC 806 AAA & XL 796 AKR",2 CAR & BUS,2 PVT & COM,"NISSAN, TYT & FORD","ALMERA, COROLA & EXPERT",0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,10.0,9,23,2016,420,600,180,3,13,OWO,AKR,MDV,
