,sn,command,date,crash_time,report_time,arrival_time,response_time,route,location,vehicle_no,vehicle_type,vehicle_cat,vehicle_make,vehicle_model,fleet_operator,name_of_driver,dl_no,causes,no_injured_male_adult,no_injured_female_adult,no_injured_male_child,no_injured_female_child,total_injured,no_killed_male_adult,no_killed_female_adult,no_killed_male_child,no_killed_female_child,total_killed,no_involved_male_adult,no_involved_female_adult,no_involved_male_child,no_involved_female_child,total_involved
0,1,RS11.2,02/09/2016,335,405,412,7,AKR -IPT,KM 2.5 NEAR ANTI CULTIT P/STATION,KPA 328 LG & LSR 999 XN,2 BUS,2 COM,2 TYT,2 HIACE,,,,SOS,3,3,0,0,6,0,0,0,0,0,6,3,0,0,9
1,2,RS11.2,02/09/2016,1030,1032,1035,3,AKR - IPT,KM 6 ILARA MOKIN,AKD 991 CE & EKY 431 EH,BUS & CAR,2 PVT,HONDA & TYT,ODESS& COROLLA,,,,DGD,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2
2,3,RS11.2,08/09/2016,45,56,105,9,AKR - OWO,KM 2.5  SEENI JUNT. ,DKA  378 YYY & TFB 118 XA,2 BUS,2 COM,2 PGT,2 J5,,,,DGD,7,0,0,0,7,0,0,0,0,0,9,0,0,0,9
3,4,RS11.2,18/09/2016,1600,1623,1635,12,AKR - IPT,KM 13 ERO JUNT,"FKJ 611 XB, KNR 377 XA & GED 81 XA",3 BUS,2 COM & PVT,2 TYT & IZUZU,"HIACE, PICNIC & BUS",,,,WOV,3,2,0,0,5,1,1,0,1,3,8,5,0,1,14
4,5,RS11.2,23/09/2016,1830,1832,1833,1,AKR - OWO,KM1.5 NNPC MEGA STATION,AKR 397 AT & WWW 405  AA,2 CAR,2 PVT,2 NISSAN,2 ALMERA,,,,WOV,2,0,0,0,2,0,0,0,0,0,2,1,0,1,4
5,6,RS11.2,25/09/2016,450,455,500,5,AKR - OWO,KM 4 QUARTER GUARD,NO NOS,BUS,PVT,TYT,SIENNA ,,,,SOS,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3
6,1,RS11.21,03/09/2016,930,950,1017,27,ORE - LAG,KM 23 OMOTOSHO AXIS,SMK 355 CK & XA 349 DGB,BUS & TRK,PVT & COM,TYT & BEDFORD,SIENNA & TRK,,,,SPV,5,1,0,0,6,1,1,0,0,2,6,2,0,0,8
7,2,RS11.21,22/09/2016,2020,2025,2027,2,ORE - LAG,KM 4 B4 NNPC FILLING STATION,GWK 730 XA,BUS,COM,TYT,SIENNA,,,,SLV,3,3,0,1,7,1,0,0,0,1,4,3,0,1,8
8,3,RS11.21,24/09/2016,1235,1240,1245,5,ORE - BEN,KM 13 OWENA VILLAGE,APP 525 EC,JEEP,PVT,TYT,JEEP,,,,SLV,1,1,0,0,2,1,2,0,0,3,2,3,0,0,5
9,4,RS11.21,25/09/2016,1410,1417,1422,5,ORE - LAG,QKM 7 AFTER MTN MAST,AWK 815 XA & NO NOS,BUS & TRK,2 COM,TYT & MAN DIESEL,HIACE & TRK,,,,SLV & OTH,4,2,0,0,6,0,0,0,0,0,9,5,1,0,15
10,5,RS11.21,26/09/2016,1720,1729,1735,6,ORE - OND,KM 7 OMI IFON VILLAGE,KSF 357 BG,CAR,PVT,TYT,CAMRY,,,,SLV,1,1,0,0,2,3,0,0,0,3,4,1,0,0,5
11,6,RS11.21,28/09/2016,1620,1630,1637,7,ORE - LAG,KM 13 FRM ORE ,KTU 683 EH,CAR,PVT,V/W,GOLF,,,,SLV,5,0,0,0,5,1,0,0,0,1,6,0,0,0,6
12,1,RS11.22,13/09/2016,858,905,917,12,OWO - AKR,KM 14 CLOSE TO AMURIN,KSF 711 DL,CAR,PVT,TYT,CAMRY,,,,TBT,2,0,0,0,2,0,0,0,0,0,5,0,0,0,5
13,2,RS11.22,21/09/2016,1200,1202,1205,3,OWO - AKR,KM 3 ISUADA JUNCT,SUA 009 WH,BIKE,COM,BAJAJ,BOXERS,,,,SLV,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2
14,3,RS11.22,23/09/2016,1310,1317,1320,3,OWO - AKR,KM 4 POLY GATE,"LES 112 AA, MC 806 AAA & XL 796 AKR",2 CAR & BUS,2 PVT & COM,"NISSAN, TYT & FORD","ALMERA, COROLA & EXPERT",,,,MDV,0,4,0,0,4,0,0,0,0,0,3,7,0,0,10
15,1,RS11.23,02/09/2016,2055,2057,2107,10,IKR - OWO,KM 23 OBA AKOKO CLOSE TO OBA POLICE STATION,NO NOS,BIKE,COM,BOXER,BAJAJ,,,,SPV,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
16,2,RS11.23,12/09/2016,1605,1606,1609,3,IKR - T/SHIP,KM 0.2 JUBILLEE RD OPP WEMA BANK,2 NO NOS,2 BIKE,2 COM,JICHENG & BOXERS,2 BIKE,,,,WOV,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3
17,1,RS11.24,07/09/2016,1912,1914,1917,3,OND - IFE,KM 2 JAYE FILLING STATION,MNA 803 XA & NO NOS,TRK & BIKE,2 COM,MIST & BIKE,TRK & BIKE,,,,SPV,1,0,0,0,1,1,0,0,0,1,5,0,0,0,5
18,2,RS11.24,08/09/2016,751,753,807,14,OND - IFE,KM 8 ETI ONI,XB 574 BRK & XA 779 PTN,2 TRK,2 COM,DAF & MAN DISEAL,2 TRK,,,,OBS & SPV,0,0,0,0,0,2,0,0,0,2,2,0,0,0,2
19,1,RS11.25,23/09/2016,930,932,933,1,IFON - OWO,KM 2.5 AFTER ARMY CHECK POINT,SMK 222 DQ ,CAR,PVT,TYT,CAMRY,,,,SLV,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
20,2,RS11.25,26/09/2016,1530,1530,1535,5,IFIN - T/SHIP,KM 5 IMORU RD AFTER NIMIC OFFICE,USH 144 QN & WWW 542 XA,BIKE & BUS,2 COM,QLINK & FORD,BIKE & TRANSIT,,,,SLV,0,0,0,0,0,1,2,0,0,3,2,2,0,0,4
21,1,RS11.2,08/12/2016,540,701,723,22,AKR - OWO,KM 25 B4 OGESE,KTU 940 AS & NSR 813 XA,CAR & TRK,2 COM,V/WAGEN & DAF,GOLF & TRK,,,,WOV,1,4,0,0,5,1,1,0,0,2,3,5,0,0,8
22,2,RS11.2,12/12/2016,1750,1815,1830,15,AKR - IPT,KM 13 SHASHA IGBARA OKE,LSD 732 EA & DKA 12 XA,JEEP & BUS,PVT & COM,MIST & TYT,LANCER & HIACE,,,,WOV,1,0,0,0,1,0,1,0,0,1,6,1,0,0,7
23,1,RS11.21,02/12/2016,1025,1027,1030,3,LAG -ORE,KM 3 ORE TOLL GATE,HIT & RUN BLACK JEEP,JEEP,PVT,JEEP,JEEP,,,,DGD & SLV,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2
24,2,RS11.21,11/12/2016,1450,1500,1515,15,LAG -ORE,KM 8 STEP DOWN,KTU 107 XP & RMG 169 XP,BUS & TRK,PVT & COM,TYT & HOWO,SIENNA & SINO TRK,,,,SLV,2,2,0,0,4,0,0,0,0,0,7,4,0,0,11
25,3,RS11.21,18/12/2016,1620,1625,1633,8,LAG -ORE,KM 11 OMI IFON,BDG 368 XJ & KMC 178 XR,BUS & TRK,2 COM,TYT & HOWO,HIACE & SINO TRK,,,,DGD & SPV,3,0,0,0,3,6,3,0,2,11,9,3,0,2,14
26,4,RS11.21,28/12/2016,1312,1319,1324,5,ORE - OND,KM 4 FRM ORE,FEE 162 AA & 2 NO NOS,JEEP  & 2 BIKE,PVT & 2 COM,RANGE ROVER & 2 HAOJUE,JEEP & 2 SUZUKI,,,,DGD & SPV,2,1,0,0,3,1,0,0,0,1,3,1,0,0,4
