key_0,location,vehicle_no,vehicle_type,vehicle_cat,vehicle_make,vehicle_model,no_injured_male_adult,no_injured_female_adult,no_injured_male_child,no_injured_female_child,total_injured,no_killed_male_adult,no_killed_female_adult,no_killed_male_child,no_killed_female_child,total_killed,no_involved_male_adult,no_involved_female_adult,no_involved_male_child,no_involved_female_child,total_involved,month,day,year,report_minus_crash,arrival_minus_crash,arrival_minus_report,no_automobile,hour,route:from,route:to,BDR,BFL,BRD,DAD,DGD,DOT,DUI,FEV,FQT,FTG,FTQ,LOC,LSV,MDV,OBS,OTH,OVL,ROB,ROV,RTV,RUN,SLV,SOS,SPV,TBT,TYB,UPD,WOT,WOV
436,KM 16 ETIORO,AKR 946 TE & KAA 241 VX,CAR & BIKE,PVT & COM,MISTB & BAJAJ,CAR & BIKE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,4.0,1,3,2018,300,660,360,2,14,IKR,OWO,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,KM 20 OGBESE,KTU B151 BP & CM 175 RSH,2 CAR,2 PVT,HONDA & NISSAN,JAZZ & PRIMERA,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,1,5,2017,300,1200,900,2,9,AKR,OWO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
501,KM5,XB 585 AKD & NO NOS,TRK & BIKE,2 COM,M/DIESEL &           SUZUKI,TRK & HOJUE,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1,19,2019,60,180,120,2,13,ORE,LAG,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
502,KM25,ACA 636 XT &                      XA 336 EKY,BUS & TRL,2 COM,TYT                            FOTON,BUS & TRL,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,15.0,1,24,2019,840,240,-600,2,11,ORE,LAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
505,AFTER ITA IPELE VILLAGE 13KM FROM IKARE JUNCTION,NO NOS,TRK,COM,STAYER,TRK,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1,17,2019,300,900,600,1,9,OWO,IFON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
506,KM 2 IKR JUNCTN.,WWW 039 QV,BIKE,COM,BAJAJ,BOXERS,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1,18,2019,60,120,60,1,11,OWO,IKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
507,TISCO FARM 9KM FROM IKARE JUNCTION,NO NOS,TRK,COM,STAYER,586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,1,20,2019,180,420,240,1,8,OWO,AKR,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508,POLY SECOND GATE 7KM FROM IKARE JUNCTION,KAK 713 XA,BUS,COM,TYT,PICNIC,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,1,22,2019,180,420,240,1,10,OWO,AKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
498,50 M BY A& T,AF 908 AKR & XM 939 AKR ,CAR & TRK,PVT & COM,BENZ & MACK,230 & TRK,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1,23,2019,60,480,420,2,19,AKR,IPT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
509,EMURE AFTER SECOND MARKET 12.5KM FROM IKARE JUNCTION,IDE 18 AA,CAR,PVT,V/WAGEN,GOLF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,2.0,0.0,14.0,1,22,2019,120,420,300,1,12,OWO,AKR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
