,sn,command,date,crash_time,report_time,arrival_time,response_time,route,location,vehicle_no,vehicle_type,vehicle_cat,vehicle_make,vehicle_model,fleet_operator,name_of_driver,dl_no,causes,no_injured_male_adult,no_injured_female_adult,no_injured_male_child,no_injured_female_child,total_injured,no_killed_male_adult,no_killed_female_adult,no_killed_male_child,no_killed_female_child,total_killed,no_involved_male_adult,no_involved_female_adult,no_involved_male_child,no_involved_female_child,total_involved
9,1,RS11.2,03/08/2018,1520,1522,1525,3,AKR - OND,KM 6 OLOKUTA AREA PRISON,FFE 154 AA,BUS,PVT,TYT,PICNIC,,,,BFL,0,2,0,0,2,0,0,0,0,0,3,2,0,1,6
10,2,RS11.2,05/08/2018,1924,1930,1933,3,AKR - IPT,KM 1 ROAD BLOCK,"AKR 912 MM, CZ 704 FST & AGN 893 DL",3 CAR,3  PVT,"VOLVO, V/W & TYT","VOLVO, GOLF & CAMRY",,,,"SPV, DUI",5,0,0,0,5,0,0,0,0,0,8,0,0,0,8
11,3,RS11.2,07/08/2018,1833,1838,1851,13,AKR - OND,KM 8 APONMU,NND 861 AA &JTA 494 XA,CAR & TRK,PVT &  COM,TYT & IVECO,CAMRY & TRK,CHRISWELL ODA AKURE,,,"MDV, SPV &  LOC",0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
12,4,RS11.2,18/08/2018,1552,1554,1602,8,AKR - OWO,KM 5 ADO JUNCTION AXIS OPP SWIFT FILLING STATION.,"FFN 67 AA, MUS 491 EX & SMK 847 AW",3 CAR,3 PVT,"V/W, LEXUS & TYT","GOLF, ES350 & CAMRY",,,,"SPV, DUI",1,0,0,0,1,0,0,0,0,0,4,0,0,0,4
13,5,RS11.2,18/08/2018,2020,2025,2030,5,AKR - IPT,KM 2 FUTA BNORTH GATE AREA ACAD,NO NOS & KM 576 AAA,TRK & CAR,COM & PVT,TRK & NISSAN,TRK & PREMERA,,,,SPV,2,0,0,0,2,0,0,0,0,0,3,0,0,0,3
14,6,RS11.2,18/08/2018,1658,1700,1702,2,AKR - OWO,300M OPP COOP HOUSE,FGB 716 XA & CX 874 PHC,2 CAR,COM & PVT,TYT & MERCEDESE BENZ,PREVIA & BENZ,,,,BFL,3,0,0,0,3,0,0,0,0,0,5,3,1,1,10
16,1,RS11.21,01/08/2018,0749,0813,0821,8,ORE - LAG,KM 9 MIMIKO FARM AXIS,NO NOS & XZ 347 MUS,2 TRL,2 COM,MAN DIESEL &  DAF,2 TRL,,,,SOS & SPV,3,0,0,0,3,1,0,0,0,1,4,0,0,0,4
17,2,RS11.21,03/08/2018,1700,1714,1730,16,ORE -  KTP,KM 17 AGBABU,MT 134 KJA & BDR 599 AA,2 CAR,2 PVT,2 TYT,PREVIA & AVENSIS,,,,SPV,5,3,0,0,8,2,1,0,0,3,7,4,0,0,11
18,3,RS11.21,12/08/2018,1811,1832,1844,12,ORE - BEN,KM 13 PARADISE AXIS,FKJ 738 EH,CAR,PVT,MAZDA,323,,,,BFL,2,2,0,0,4,2,1,0,0,3,4,3,0,0,7
19,4,RS11.21,13/08/2018,1438,1440,1446,6,ORE - LAG,KM 17 NAROWI,NO NOS,BUS,COM,TYT,HIACE,,,,SPV,1,0,0,0,1,0,0,0,0,0,11,7,0,0,18
20,5,RS11.21,17/08/2018,0926,0944,0951,7,ORE - LAG,KM 22 OMOTOSO,HIT & RUN,0,0,0,0,,,,SPV,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2
21,6,RS11.21,18/08/2018,1742,1757,1813,16,ORE - BEN,KM 37 B4 MILITARY CHECK POINT,NO NOS,BIKE,COM,HAOJUE,SUZUKI,,,,SPV,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2
22,7,RS11.21,19/08/2018,1954,2004,2013,9,ORE - LAG,KM 8 MTN MAST,AWK 229 XA & EKY 574 FA,BUS & CAR,COM & PVT,2 TYT,HIACE & COROLLA,,,,SPV & TYRE PULL,1,0,0,0,1,0,0,0,0,0,12,1,0,0,13
23,8,RS11.21,21/08/2018,1106,1107,1109,2,ORE - BEN,KM 2 SOKA BRIDGE,BEN 444 XY & AGL 617 XR,TNK & BUS,2 COM,MACK & TYT,TNK & HIACE,,,,SPV,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2
24,9,RS11.21,21/08/2018,1445,1450,1500,10,ORE - LAG,KM 50 B4 SAMFAS ONIPARAGA,GBA 260 XA,BUS,COM,TYT,PICNIC,,,,SPV,1,0,0,0,1,0,0,0,0,0,7,2,0,0,9
26,1,RS11.22,02/08/2018,0520,0530,0532,2,OWO - AKR,KM 2 NASFAT JUNCTION,XR 720 EKY,BUS,COM,TYT,HIACE,,,,SPV & LOC,8,0,0,0,8,0,0,0,0,0,17,2,1,0,20
27,2,RS11.22,04/08/2018,1210,1210,1211,1,OWO - T/SHIP,KM 2 RAINBOW JUNT. OKE OGUN RD.,WWW 299 WX & WWW 164 QA,2 BIKE,2 COM,2 BAJAJ,2 BIKE,,,,SPV & OBS,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2
28,3,RS11.22,04/08/2018,2326,2331,2334,3,OWO  - IFON,KM 2 SHAGARI VILLAGE,KJA 190 EF & BEN 922 XC,CAR & TRK,PVT &  COM,TYT & BENZ,CAMRY & TRK,,,,SPV & LOC,3,0,0,0,3,0,0,0,0,0,7,0,0,0,7
29,4,RS11.22,11/08/2018,0742,0750,0755,5,OWO - AKR,KM 6 ASAGUN JUNCTION,FKJ 882 XR,TRK,COM,DAF,TRK,,,,SPV  & WOV,1,0,0,0,1,0,0,0,0,0,2,0,1,0,3
30,5,RS11.22,17/08/2018,1655,1658,1701,3,OWO - AKR,KM 1 NASFAT JUNCTION,KUJ 531 XT,TRK,COM,DAF,TRK,,,,SPV & MDV,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
31,6,RS11.22,17/08/2018,1930,1935,1944,9,OWO - AKR,KM 13 AMURIN MRK,WWW 722 XA & FFF 768 AA,2 CAR,PVT &  COM,NISSAN & RENAULT,MICRA & MEGANE,,,,SPV,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7
32,7,RS11.22,21/08/2018,0605,0607,0612,5,OWO - AKR,KM 16 AFTER AMURIN,AGL 917 ET,BUS,COM,TYT,HIACE,,,,SPV & TBT,0,1,0,0,1,0,0,0,0,0,5,9,0,0,14
34,1,RS11.23,13/08/2018,1215,1219,1226,7,IKR - OWO,"KM 4 OPP BLUE HOUSE, AKUNGBA",SUA  604 WH,BIKE,COM,BAJAJ,BOXERS,,,,SPV,1,1,0,0,2,1,0,0,0,1,2,1,0,0,3
35,2,RS11.23,19/08/2018,1912,1919,1923,4,IKR - AJOWA,160M OPP ROCKYSON HOTEL,NO NOS & HIT & RUN,BIKE,COM,BOXERS,BAJAJ,,,,SPV,2,0,0,0,2,0,0,0,0,0,3,0,0,0,3
36,3,RS11.23,21/08/2018,2130,2133,2136,3,IKR - OWO,109 M OPP ECO BANK,KAK 534 UN & JTA 142 XA,BIKE & BUS,2 COM,BOXERS & TYT,BAJAJ & HIACE,,,,SPV,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2
